DATE,gdp
1999-10-01,688828.625
1999-11-01,691541.5461956522
1999-12-01,694166.9538043478
2000-01-01,696879.875
2000-02-01,699063.9271978022
2000-03-01,701107.0728021978
2000-04-01,703291.125
2000-05-01,705587.3612637363
2000-06-01,707960.1387362637
2000-07-01,710256.375
2000-08-01,712292.9402173914
2000-09-01,714329.5054347826
2000-10-01,716300.375
2000-11-01,717783.5944293478
2000-12-01,719218.9680706522
2001-01-01,720702.1875
2001-02-01,721942.6395833333
2001-03-01,723063.0479166667
2001-04-01,724303.5
2001-05-01,724938.0741758242
2001-06-01,725593.8008241758
2001-07-01,726228.375
2001-08-01,728110.9510869565
2001-09-01,729993.5271739131
2001-10-01,731815.375
2001-11-01,734493.3790760869
2001-12-01,737084.9959239131
2002-01-01,739763
2002-02-01,742996.1277777777
2002-03-01,745916.3722222223
2002-04-01,749149.5
2002-05-01,751944.815934066
2002-06-01,754833.309065934
2002-07-01,757628.625
2002-08-01,759752.5883152174
2002-09-01,761876.5516304348
2002-10-01,763932
2002-11-01,765565.9653532609
2002-12-01,767147.2221467391
2003-01-01,768781.1875
2003-02-01,770074.4041666667
2003-03-01,771242.4708333333
2003-04-01,772535.6875
2003-05-01,773917.8097527473
2003-06-01,775346.0027472527
2003-07-01,776728.125
2003-08-01,778238.0903532609
2003-09-01,779748.0557065217
2003-10-01,781209.3125
2003-11-01,785194.0971467391
2003-12-01,789050.3403532609
2004-01-01,793035.125
2004-02-01,796810.396978022
2004-03-01,800342.103021978
2004-04-01,804117.375
2004-05-01,808451.9835164836
2004-06-01,812931.0789835164
2004-07-01,817265.6875
2004-08-01,820206.5808423914
2004-09-01,823147.4741847826
2004-10-01,825993.5
2004-11-01,828822.9239130435
2004-12-01,831561.0760869565
2005-01-01,834390.5
2005-02-01,839548.0819444444
2005-03-01,844206.5430555556
2005-04-01,849364.125
2005-05-01,853182.3873626373
2005-06-01,857127.9251373627
2005-07-01,860946.1875
2005-08-01,862888.0047554348
2005-09-01,864829.8220108695
2005-10-01,866709
2005-11-01,871840.679347826
2005-12-01,876806.820652174
2006-01-01,881938.5
2006-02-01,886252.9034722223
2006-03-01,890149.7840277777
2006-04-01,894464.1875
2006-05-01,898536.9141483516
2006-06-01,902745.3983516484
2006-07-01,906818.125
2006-08-01,911043.4544836957
2006-09-01,915268.7839673914
2006-10-01,919357.8125
2006-11-01,924387.6677989131
2006-12-01,929255.2697010869
2007-01-01,934285.125
2007-02-01,936922.536111111
2007-03-01,939304.713888889
2007-04-01,941942.125
2007-05-01,945581.3557692308
2007-06-01,949341.8942307692
2007-07-01,952981.125
