DATE,gdp
2016-01-01,1111572.25
2016-02-01,1111936.5851648352
2016-03-01,1112277.4148351648
2016-04-01,1112641.75
2016-05-01,1112597.0796703296
2016-06-01,1112550.9203296704
2016-07-01,1112506.25
2016-08-01,1112824.5054347827
2016-09-01,1113142.7608695652
2016-10-01,1113450.75
2016-11-01,1115222.1304347827
2016-12-01,1116936.3695652173
2017-01-01,1118707.75
2017-02-01,1120808.990277778
2017-03-01,1122706.884722222
2017-04-01,1124808.125
2017-05-01,1125490.048076923
2017-06-01,1126194.701923077
2017-07-01,1126876.625
2017-08-01,1128370.2269021738
2017-09-01,1129863.828804348
2017-10-01,1131309.25
2017-11-01,1133325.9347826086
2017-12-01,1135277.5652173914
2018-01-01,1137294.25
2018-02-01,1136320.161111111
2018-03-01,1135440.338888889
2018-04-01,1134466.25
2018-05-01,1139065.7692307692
2018-06-01,1143818.6057692308
2018-07-01,1148418.125
2018-08-01,1149491.921195652
2018-09-01,1150565.7173913044
2018-10-01,1151604.875
2018-11-01,1148215.597826087
2018-12-01,1144935.652173913
2019-01-01,1141546.375
2019-02-01,1143324.4833333334
2019-03-01,1144930.5166666666
2019-04-01,1146708.625
2019-05-01,1147105.9601648352
2019-06-01,1147516.5398351648
2019-07-01,1147913.875
2019-08-01,1147773.827445652
2019-09-01,1147633.7798913044
2019-10-01,1147498.25
2019-11-01,1147342.7445652173
2019-12-01,1147192.2554347827
2020-01-01,1147036.75
2020-02-01,1081224.580357143
2020-03-01,1019658.3571428572
2020-04-01,953846.1875
2020-05-01,997103.7767857143
2020-06-01,1041803.2857142857
2020-07-01,1085060.875
2020-08-01,1095135.7486413044
2020-09-01,1105210.6222826086
2020-10-01,1114960.5
2020-11-01,1117205.5570652173
2020-12-01,1119378.1929347827
2021-01-01,1121623.25
2021-02-01,1127168.288888889
2021-03-01,1132176.711111111
2021-04-01,1137721.75
2021-05-01,1131337.5192307692
2021-06-01,1124740.4807692308
2021-07-01,1118356.25
2021-08-01,1124407.3152173914
2021-09-01,1130458.3804347827
2021-10-01,1136314.25
2021-11-01,1141304.870923913
2021-12-01,1146134.504076087
2022-01-01,1151125.125
2022-02-01,1147407.0625
2022-03-01,1144048.8125
2022-04-01,1140330.75
2022-05-01,1147652.8516483516
2022-06-01,1155219.0233516484
2022-07-01,1162541.125
2022-08-01,1157069.625
2022-09-01,1151598.125
2022-10-01,1146303.125
2022-11-01,1148738.014945652
2022-12-01,1151094.360054348
2023-01-01,1153529.25
2023-02-01,1156270.425
2023-03-01,1158746.325
2023-04-01,1161487.5
2023-05-01,1159909.5741758242
2023-06-01,1158279.0508241758
2023-07-01,1156701.125
2023-08-01,1158053.5421195652
2023-09-01,1159405.9592391304
2023-10-01,1160714.75
2023-11-01,1160827.4619565217
2023-12-01,1160936.5380434783
2024-01-01,1161049.25
2024-02-01,1162800.9203296704
2024-03-01,1164439.5796703296
2024-04-01,1166191.25
