"capital_index","gdp_yoy","inflation","bank_rate","cred_cs_yoy","cred_hs_yoy","sa_us_10yr"
0,-0.686500246021282,8.436214,11.5,13.9986380115058,8.17162125178044,5.304
0,-1.20710605513867,9.016394,10.5,13.126420652995,6.94239993101107,5.429
0,-1.72620024755723,9.090909,9.5,8.18548486129451,6.08479669582103,5.61
0,-2.2437963608267,8.835341,9.5,6.50561217296808,5.8158137092688,5.549
0,-2.24613657869916,8.366534,7.5,2.14178169447816,5.81036068236109,5.318
0,-2.24847312942984,7.269155,7.5,-0.609783085436533,5.12715732872095,5.186
0,-2.25080602163157,6.576402,7.5,-0.177096782318564,4.54722589260044,5.594
0,-1.83879913746239,6.346154,7,-2.50869014862261,4.28903279350408,5.281
0,-1.42692292346336,5.927342,7,-4.1947062842647,3.91472040990291,5.385
0,-1.01517382553666,5.523809,7,-5.3029787051841,3.07041243704909,5.814
0,-0.107156672916275,5.523809,7,-6.62456469024484,2.60746086756338,5.729
0,0.802076374213279,6.10687,7,-4.72435342866095,2.94476170297333,5.559
0,2.10644797699544,5.451128,7,-5.29165073998499,3.43061528523929,5.44
0,2.49968317312845,4.814815,6.5,-5.14740619155543,3.62851992402984,5.131
0,2.89227563620962,4.428044,6.5,-5.39416803259805,3.84796205131366,4.764
0,3.11131243783969,4.227941,6.5,-1.79260633084226,3.76951795521254,5.379
0,3.32953350484502,3.846154,6.5,-2.48633505553215,4.30164338490346,5.58
0,3.54694390238155,3.629764,6.5,-1.85442643459126,4.64866286410608,5.555
0,3.63464691709883,3.254973,6.5,-1.08028949768357,5.55211971881686,5.402
0,3.72188534717299,3.249098,6,1.25844290712749,6.19840237106235,5.247
0,3.80866290731721,3.429603,6,0.613849359675811,6.5282671927319,5.474
0,3.7482385091355,3.610108,5.5,0.810302471110802,7.05688349094835,5.26
0,3.6882443633182,3.417266,5.5,0.823765093071671,6.74760330957032,4.968
0,3.62867588006317,3.584229,5.5,1.14879713861296,7.33268230003059,5.028
0,3.53564597941034,3.565062,5.5,2.59551012058932,6.85597062967176,5.008
0,3.44304788024044,3.886926,5.5,2.88083488836932,6.94182712204938,5.369
0,3.35087854375864,4.240283,5.5,4.67191312924733,6.80679791193057,5.084
0,3.1923978864782,4.585538,5.5,3.45967679116672,6.84252771228167,5.241
0,3.03460292216169,5.114638,5.5,3.52765951471348,6.95155393519524,5.342
0,2.87748901508742,5.253941,5.5,5.15718547574036,6.54707157123529,5.367
0,2.79547803347917,5.253941,5.5,6.5909337804527,5.27907361347513,5.588
0,2.71390611722868,5.769231,5.5,5.75857580598242,4.6692837690328,6.009
0,2.63276972286484,6.282722,5.5,7.03002249714988,4.95927362947466,6.113
0,2.49380958351022,6.097561,5.5,6.78587249427309,5.12386287796662,6.241
0,2.35556433568895,6.26087,5.5,8.56520719528913,6.08000228350232,6.27
0,2.21802834573772,6.228374,5.5,8.80385902994352,5.63577249819129,6.306
0,2.30950309334332,6.196213,5.5,10.0404990754193,6.10717434671599,6.28
2,2.40055466981257,6.122449,5.5,11.9517446142897,6.29455649248989,6.08
2,2.49118604229768,6.271186,5.5,8.33290323715037,6.62554681602323,6.212
2,2.48878509671719,5.733558,5.5,8.87798068110399,6.87362436908483,6.455
2,2.48639069845478,5.704698,5.5,8.60303987261961,7.16299666128908,5.906
2,2.48400282076471,4.825291,5,6.30275146789536,7.53774411233419,5.671
2,2.41508835200737,5.324459,5,6.41671945058722,8.33591120007533,5.44
2,2.34643954446447,5.454545,5,7.91477128594256,8.86393818065372,5.277
1.95,2.27805484884627,5.418719,5,7.0393334444038,9.0144534229319,5.428
1.95,2.34762629838023,5.747127,5,8.80242951189523,9.8627665293245,5.485
1.95,2.41688773480977,5.728314,5,9.68696098066957,9.44005090700859,5.14
2.95,2.48584124217697,5.537459,5,7.23034681180703,9.43766603498162,4.874
2.95,2.45014918840223,5.996758,5,5.42926797254601,9.35350954894449,4.777
2.95,2.4146420196244,6.089744,5,6.13862981541988,9.17231630459199,4.892
2.95,2.3793183007756,5.741627,5,7.44375619458353,9.1124341133149,4.759
2.95,2.40191884148402,5.582137,5,8.68648157089424,9.01551968327574,4.453
2.95,2.42445320549756,5.396825,5,10.0642115004238,8.34654122370377,5.318
2.95,2.44692168361933,6.507936,5,8.28221413456998,8.31930747631802,5.1
2.95,2.46735685512345,6.319115,5,9.46611993459001,7.77628862301061,5.308
2.95,2.48772310123915,5.956113,5,8.93197359061677,7.20172038910345,5.007
2.95,2.50802077051517,5.607477,5,8.23970513475825,6.90912457065664,4.914
2.95,2.20369096094206,5.434783,5,8.84941593682544,5.73032911821834,5.165
2.95,1.90000567278759,5.263158,5,7.16634002086582,5.35599169570489,5.007
3.2,1.59696146479504,5.709877,5.5,9.69526929027236,5.48755896491553,5.515
3.2,1.48626447122773,5.810398,5.5,12.0203956198884,5.23811115201198,5.958
3.2,1.37597989098879,5.891239,5.5,11.779928054939,4.65140558254848,5.792
3.2,1.2661053569353,6.334842,5.5,12.5790700520934,4.4759266836925,5.722
3.2,1.26814199611793,6.797583,5.5,12.4943040916826,4.21437567004261,5.627
3.2,1.2701721723106,6.777109,5.5,12.9139143902092,4.20923030746554,5.745
3.2,1.27219591622882,6.557377,5.75,15.4834352296232,4.08460197086793,5.716
3.2,1.34218697559998,6.53789,5.75,13.8010027585983,3.57608458112075,5.808
3.3,1.41187904342193,6.065089,5.75,13.8954330068509,3.71696949608307,5.638
3.3,1.48127404830003,5.899705,5.75,14.0172561908265,3.54877827677154,5.769
